Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time
1436962651.710753,,good,Pot,,
1436962654.717569,,good,Pot,,
1436962661.337317,,good,Pot,,
1436962677.564316,,good,Pot,,
1436962678.164285,,good,Pot,,
1436962678.760276,,good,Pot,,
1436962679.36101,,good,Pot,,
1436962695.608623,,good,Pot,,
1436962701.026381,,good,Pot,,
1436962705.839288,,good,Pot,,
1436962710.043289,,good,Pot,,
1436962711.247294,,good,Pot,,
1436962716.6746,,good,Pot,,
1436962717.876451,,good,Pot,,
1436962722.681755,,good,Pot,,
1436962733.506197,,good,Pot,,
1436962738.934078,,good,Pot,,
1436962743.745598,,good,Pot,,
1436962745.544361,,good,Pot,,
1436962746.14712,,good,Pot,,
1436962747.355464,,good,Pot,,
1436962753.985284,,good,Pot,,
1436962754.584785,,good,Pot,,
1436962766.634458,,good,Pot,,
1436962767.235884,,good,Pot,,
1436962781.064506,,good,Pot,,
1436962793.708559,,good,Pot,,
1436962797.324691,,good,Pot,,
1436962805.160962,,good,Pot,,
1436962814.768405,,good,Pot,,
1436962824.398324,,good,Pot,,
1436962840.646218,,good,Pot,,
1436962842.454203,,good,Pot,,
1436962865.338876,,good,Pot,,
1436962868.957077,,good,Pot,,
1436962870.163464,,good,Pot,,
1436962887.013857,,good,Pot,,
1436962893.642038,,good,Pot,,
1436962902.663203,,good,Pot,,
1436962903.265418,,good,Pot,,
1436962905.678109,,good,Pot,,
1436962908.680927,,good,Pot,,
1436962911.095436,,good,Pot,,
1436962920.718739,,good,Pot,,
1436962925.530693,,good,Pot,,
1436962930.954775,,good,Pot,,
1436962934.561481,,good,Pot,,
1436962939.973087,,good,Pot,,
1436962941.176601,,good,Pot,,
1436962945.376699,,good,Pot,,
1436962947.79128,,good,Pot,,
1436962950.203182,,good,Pot,,
1436962955.013127,,good,Pot,,
1436962967.657931,,good,Pot,,
1436962974.262672,,good,Pot,,
1436962977.867362,,good,Pot,,
1436962979.062111,,good,Pot,,
1436962987.494019,,good,Pot,,
1436962991.11153,,good,Pot,,
1436962992.318686,,good,Pot,,
1436962997.727956,,good,Pot,,
1436963004.963996,,good,Pot,,
1436963008.578001,,good,Pot,,
1436963009.176745,,good,Pot,,
1436963010.38137,,good,Pot,,
1436963021.865574,,good,Pot,,
1436963039.90764,,good,Pot,,
1436963041.111732,,good,Pot,,
1436963041.712131,,good,Pot,,
1436963045.326172,,good,Pot,,
1436963048.342991,,good,Pot,,
1436963062.164521,,good,Pot,,
1436963065.775522,,good,Pot,,
1436963070.580887,,good,Pot,,
1436963073.593394,,good,Pot,,
1436963079.617845,,good,Pot,,
1436963081.425382,,good,Pot,,
1436963082.024305,,good,Pot,,
1436963101.269011,,good,Pot,,
1436963115.720593,,good,Pot,,
1436963116.320669,,good,Pot,,
1436963118.730987,,good,Pot,,
1436963121.142911,,good,Pot,,
1436963124.155967,,good,Pot,,
1436963128.365059,,good,Pot,,
1436963130.770982,,good,Pot,,
1436963133.175369,,good,Pot,,
1436963139.179669,,good,Pot,,
1436963148.838432,,good,Pot,,
1436963149.439987,,good,Pot,,
1436963151.240633,,good,Pot,,
1436963162.676892,,good,Pot,,
1436963168.080626,,good,Pot,,
1436963177.11643,,good,Pot,,
1436963219.212013,,good,Pot,,
1436963221.617354,,good,Pot,,
1436963224.629441,,good,Pot,,
1436963228.836537,,good,Pot,,
1436963244.464508,,good,Pot,,
1436963253.500279,,good,Pot,,
1436963255.894504,,good,Pot,,
1436963262.502156,,good,Pot,,
1436963271.532202,,good,Pot,,
1436963286.619351,,good,Pot,,
1436963296.230265,,good,Pot,,
1436963304.630218,,good,Pot,,
1436963305.230234,,good,Pot,,
1436963307.629328,,good,Pot,,
1436963314.84339,,good,Pot,,
1436963324.45377,,good,Pot,,
1436963331.060941,,good,Pot,,
1436963332.267033,,good,Pot,,
1436963339.48973,,good,Pot,,
1436963356.319684,,good,Pot,,
1436963362.337125,,good,Pot,,
1436963365.95353,,good,Pot,,
1436963368.964536,,good,Pot,,
1436963372.581884,,good,Pot,,
1436963374.392652,,good,Pot,,
1436963379.816655,,good,Pot,,
1436963385.831311,,good,Pot,,
1436963387.634002,,good,Pot,,
1436963396.665262,,good,Pot,,
1436963397.264867,,good,Pot,,
1436963406.280772,,good,Pot,,
1436963411.698027,,good,Pot,,
1436963417.710855,,good,Pot,,
1436963433.365045,,good,Pot,,
1436963438.777506,,good,Pot,,
1436963448.426179,,good,Pot,,
1436963453.28283,,good,Pot,,
1436963464.123159,,good,Pot,,
1436963465.949934,,good,Pot,,
1436963481.009232,,good,Pot,,
1436963481.609414,,good,Pot,,
1436963487.026718,,good,Pot,,
1436963499.034936,,good,Pot,,
1436963508.056725,,good,Pot,,
1436963509.85269,,good,Pot,,
1436963510.451629,,good,Pot,,
1436963512.89379,,good,Pot,,
1436963517.076705,,good,Pot,,
1436963522.468004,,good,Pot,,
1436963529.688996,,good,Pot,,
1436963538.110871,,good,Pot,,
1436963538.711173,,good,Pot,,
1436963541.7103,,good,Pot,,
1436963542.308717,,good,Pot,,
1436963546.513691,,good,Pot,,
1436963548.319344,,good,Pot,,
1436963548.918625,,good,Pot,,
1436963551.925021,,good,Pot,,
1436963566.978652,,good,Pot,,
1436963569.384468,,good,Pot,,
1436963574.179441,,good,Pot,,
1436963580.793516,,good,Pot,,
1436963581.99634,,good,Pot,,
1436963583.196789,,good,Pot,,
1436963587.429417,,good,Pot,,
1436963600.07585,,good,Pot,,
1436963601.274096,,good,Pot,,
